time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-18 0:8:36:624,0.08,-0.103,-1.668,-4.822,-42.908,12.329,0.07,21.92,6.19,6.656,834.700,5.158
2026-5-18 0:8:36:644,0.131,-0.04,-1.093,0.61,-30.701,14.526,-0.08,22.35,5.92,6.668,706.700,4.624
2026-5-18 0:8:36:664,0.046,-0.046,-0.832,10.193,-25.208,16.296,-0.04,22.62,5.59,6.772,608.500,4.230
2026-5-18 0:8:36:684,0.03,-0.024,-0.997,26.184,-25.452,18.799,0.29,22.87,5.23,6.780,553.700,4.010
2026-5-18 0:8:36:704,0.062,0.113,-1.15,3.235,-23.438,18.738,0.47,23.1,4.84,6.800,465.100,3.198
2026-5-18 0:8:36:724,0.05,-0.034,-0.826,-24.963,-18.433,18.311,-0.06,23.24,4.47,6.812,502.700,2.824
2026-5-18 0:8:36:744,0.009,-0.129,-0.772,-12.268,-18.921,19.958,-0.58,23.33,4.06,6.832,405.000,2.674
2026-5-18 0:8:36:764,0.113,-0.095,-0.838,22.217,-21.484,23.071,-0.53,23.47,3.61,6.852,389.700,2.674
2026-5-18 0:8:36:784,0.083,-0.014,-0.982,27.222,-17.7,23.499,-0.12,23.59,3.13,6.844,367.500,2.504
2026-5-18 0:8:36:804,0.092,0.046,-0.717,2.625,-6.775,22.522,-0.03,23.53,2.64,6.876,315.800,2.078
2026-5-18 0:8:36:824,0.038,0.008,-0.704,-21.423,0.0,21.667,-0.45,23.3,2.18,6.900,288.100,2.070
2026-5-18 0:8:36:844,0.05,-0.104,-0.929,-29.846,1.77,21.24,-1.14,22.98,1.72,9.736,-3.400,0.030
2026-5-18 0:8:36:864,0.038,-0.151,-0.906,-3.418,8.24,22.217,-1.55,22.58,1.26,6.912,2.400,1.566
2026-5-18 0:8:36:884,0.05,0.006,-0.682,17.883,15.93,23.438,-1.41,22.04,0.78,7.064,-15.300,0.016
2026-5-18 0:8:36:904,0.046,0.034,-0.794,5.188,16.113,23.071,-1.3,21.46,0.29,6.960,81.300,0.806
2026-5-18 0:8:36:924,0.069,-0.012,-0.977,-13.977,13.184,22.095,-1.56,20.91,-0.18,7.012,9.800,0.230
2026-5-18 0:8:36:944,0.089,-0.091,-0.946,-8.362,18.066,22.278,-1.93,20.34,-0.63,7.000,20.900,0.174
2026-5-18 0:8:36:964,0.073,-0.07,-0.893,10.315,23.804,22.949,-1.96,19.65,-1.1,7.000,18.700,0.114
2026-5-18 0:8:36:984,0.067,0.006,-0.984,10.986,23.926,23.499,-1.8,18.92,-1.58,7.012,1.300,0.006
2026-5-18 0:8:37:4,0.091,0.001,-0.943,-4.15,27.405,22.156,-1.86,18.19,-2.05,7.008,1.200,0.010
2026-5-18 0:8:37:24,0.094,-0.062,-0.976,-4.272,38.269,21.79,-2.06,17.29,-2.49,7.008,1.100,0.010
2026-5-18 0:8:37:44,0.076,-0.061,-1.027,9.216,42.908,22.278,-2.04,16.24,-2.94,7.012,1.200,0.006
2026-5-18 0:8:37:64,0.069,0.0,-0.968,9.094,40.894,22.034,-1.9,15.21,-3.39,7.012,1.300,0.010
2026-5-18 0:8:37:84,0.091,-0.018,-1.044,0.732,45.654,20.752,-1.88,14.16,-3.82,7.008,1.400,0.006
2026-5-18 0:8:37:104,0.071,-0.049,-1.041,2.991,49.683,20.447,-1.91,13.01,-4.23,7.008,1.200,0.006
2026-5-18 0:8:37:124,0.059,-0.039,-1.04,9.705,45.837,20.752,-1.79,11.9,-4.65,7.004,1.300,0.010
2026-5-18 0:8:37:144,0.091,-0.018,-1.072,8.728,45.837,19.714,-1.62,10.87,-5.06,7.008,1.200,0.010
2026-5-18 0:8:37:164,0.088,-0.02,-1.07,6.165,53.894,18.921,-1.5,9.73,-5.45,7.008,1.200,0.006
2026-5-18 0:8:37:184,0.074,-0.043,-1.108,6.714,56.458,18.311,-1.4,8.5,-5.83,7.008,1.400,0.010
2026-5-18 0:8:37:204,0.09,-0.038,-1.097,11.23,56.702,17.639,-1.22,7.28,-6.2,7.012,1.200,0.010
2026-5-18 0:8:37:224,0.098,-0.019,-1.114,13.489,64.026,16.785,-0.96,5.99,-6.56,7.008,1.300,0.010
2026-5-18 0:8:37:244,0.074,-0.019,-1.141,8.301,66.833,15.747,-0.75,4.59,-6.91,7.008,1.300,0.010
2026-5-18 0:8:37:264,0.069,-0.046,-1.138,9.338,61.829,15.015,-0.58,3.28,-7.25,7.008,0.900,0.010
2026-5-18 0:8:37:284,0.091,-0.042,-1.154,16.174,62.622,14.282,-0.3,2.02,-7.57,7.008,1.300,0.010
2026-5-18 0:8:37:304,0.078,-0.002,-1.151,13.367,64.697,13.062,0.02,0.73,-7.88,7.008,1.300,0.010
2026-5-18 0:8:37:324,0.071,-0.031,-1.17,8.85,61.279,12.146,0.23,-0.52,-8.18,7.008,1.200,0.006
2026-5-18 0:8:37:344,0.099,-0.055,-1.175,14.832,62.805,11.169,0.49,-1.72,-8.46,7.008,1.200,0.006
2026-5-18 0:8:37:364,0.089,-0.012,-1.164,17.883,69.153,10.376,0.87,-3.02,-8.74,7.004,1.200,0.010
2026-5-18 0:8:37:384,0.071,-0.019,-1.177,10.803,68.298,8.85,1.15,-4.35,-9.0,7.004,1.400,0.010
2026-5-18 0:8:37:404,0.084,-0.052,-1.172,12.817,67.383,7.69,1.39,-5.62,-9.24,7.004,1.100,0.010
2026-5-18 0:8:37:424,0.084,-0.026,-1.17,19.165,70.19,6.897,1.76,-6.92,-9.47,7.004,1.300,0.010
2026-5-18 0:8:37:444,0.064,-0.009,-1.17,13.428,66.589,5.676,2.1,-8.18,-9.68,7.008,1.100,0.010
