time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:32:44:574,0.06,-0.015,-0.846,-5.127,9.644,-16.174,-2.81,15.7,4.7,6.104,702.7,4.364
2026-5-17 21:32:44:594,0.054,-0.067,-0.948,8.606,12.634,-15.503,-2.66,15.3,5.04,6.092,574.1,4.486
2026-5-17 21:32:44:614,0.062,-0.019,-0.851,12.268,17.029,-15.076,-2.32,14.82,5.37,6.2,460.8,2.494
2026-5-17 21:32:44:634,0.06,0.034,-0.828,1.343,20.203,-15.32,-2.08,14.26,5.69,6.264,319.8,1.328
2026-5-17 21:32:44:654,0.06,0.012,-0.864,-10.803,22.217,-15.198,-2.14,13.66,6.02,6.26,3.3,0.016
2026-5-17 21:32:44:674,0.071,-0.063,-0.917,-7.08,23.865,-14.526,-2.26,13.05,6.33,6.376,2.7,0.016
2026-5-17 21:32:44:694,0.067,-0.081,-0.902,11.597,25.085,-13.428,-2.09,12.4,6.63,7.844,433.3,1.268
2026-5-17 21:32:44:714,0.072,0.002,-0.969,15.93,26.367,-12.939,-1.68,11.74,6.91,6.172,464.2,3.48
2026-5-17 21:32:44:734,0.061,0.044,-1.136,1.16,29.297,-12.878,-1.46,11.04,7.18,6.948,27.5,2.12
2026-5-17 21:32:44:754,0.095,-0.034,-1.577,-12.573,34.851,-12.573,-1.6,10.26,7.45,6.548,9.7,0.324
2026-5-17 21:32:44:774,0.042,-0.087,-1.11,2.136,37.72,-11.353,-1.61,9.42,7.7,8.108,3.0,5.384
2026-5-17 21:32:44:794,0.062,-0.046,-1.026,14.709,36.804,-10.376,-1.36,8.57,7.93,6.288,30.1,2.53
2026-5-17 21:32:44:814,0.067,0.018,-1.131,14.099,37.903,-9.827,-1.01,7.72,8.13,6.368,12.3,0.2
2026-5-17 21:32:44:834,0.07,0.031,-1.115,-2.075,40.649,-9.155,-0.9,6.84,8.32,6.372,12.8,0.078
2026-5-17 21:32:44:854,0.053,-0.053,-1.008,-5.005,40.894,-8.606,-1.0,5.95,8.5,6.376,12.0,0.104
2026-5-17 21:32:44:874,0.066,-0.056,-1.08,11.963,41.016,-7.141,-0.87,5.06,8.65,6.372,14.8,0.302
2026-5-17 21:32:44:894,0.07,0.031,-1.066,10.437,44.373,-6.165,-0.58,4.15,8.78,6.352,18.9,0.72
2026-5-17 21:32:44:914,0.065,0.013,-1.062,-4.7,47.974,-5.798,-0.57,3.18,8.89,6.376,18.6,0.112
2026-5-17 21:32:44:934,0.065,-0.063,-1.104,1.648,48.706,-4.7,-0.62,2.18,8.99,6.364,33.2,0.21
2026-5-17 21:32:44:954,0.065,-0.015,-1.068,13.184,49.316,-3.235,-0.42,1.18,9.05,6.364,33.3,0.21
2026-5-17 21:32:44:974,0.064,0.03,-1.086,3.906,51.025,-2.441,-0.25,0.16,9.1,6.364,29.0,0.186
2026-5-17 21:32:44:994,0.058,-0.023,-1.104,-2.625,49.622,-1.831,-0.29,-0.85,9.12,6.368,27.5,0.17
2026-5-17 21:32:45:14,0.062,-0.036,-1.088,6.897,48.218,-0.427,-0.23,-1.8,9.13,5.748,486.6,9.902
2026-5-17 21:32:45:34,0.068,0.012,-1.116,7.568,48.889,0.671,-0.05,-2.74,9.11,5.844,1448.9,8.916
2026-5-17 21:32:45:54,0.063,-0.03,-1.427,2.869,49.5,1.526,0.01,-3.69,9.07,5.884,1431.1,6.288
2026-5-17 21:32:45:74,0.094,0.029,-1.224,0.244,49.5,2.38,0.05,-4.63,9.01,6.096,770.6,4.744
